mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;10464;0;0;0;0;-1;0
2;32;11560;0;0;0;0;-1;0
3;32;17578;0;0;0;0;-1;0
4;32;31965;0;0;0;0;-1;0
5;32;81782;0;0;0;0;-1;0
2;32;0;61;188906;0;0;-1;1
6;32;62006;0;0;0;0;-1;0
1;32;0;959;204695;0;0;-1;1
3;32;0;77;192310;0;0;-1;1
7;5;25286;0;0;0;0;-1;0
4;32;0;30;184489;0;0;-1;1
8;5;24988;0;0;0;0;-1;0
9;5;37429;0;0;0;0;-1;0
7;5;0;46;162107;0;0;-1;0
10;5;120285;0;0;0;0;-1;0
5;32;0;21;230299;0;0;-1;1
6;32;0;28;235582;0;0;-1;1
11;5;39403;0;0;0;0;-1;0
8;5;0;85;202110;0;0;-1;0
12;5;26462;0;0;0;0;-1;0
13;5;32726;0;0;0;0;-1;0
9;5;0;38;142939;0;0;-1;0
14;5;63033;0;0;0;0;-1;0
10;5;0;135;160244;0;0;-1;1
15;5;27288;0;0;0;0;-1;0
13;5;0;33;90576;0;0;-1;0
16;5;37818;0;0;0;0;-1;0
17;5;33711;0;0;0;0;-1;0
11;5;0;6;223177;0;0;-1;1
18;5;28741;0;0;0;0;-1;0
14;5;0;246;114367;0;0;-1;0
15;5;0;9;91776;0;0;-1;0
19;5;25752;0;0;0;0;-1;0
12;5;0;5;255922;0;0;-1;1
20;5;34650;0;0;0;0;-1;0
21;5;21439;0;0;0;0;-1;0
22;5;47000;0;0;0;0;-1;0
16;5;0;9;161275;0;0;-1;0
17;5;0;4;130923;0;0;-1;0
18;5;0;3;184185;0;0;-1;1
23;5;74327;0;0;0;0;-1;0
24;8;32004;0;0;0;0;-1;0
25;8;30527;0;0;0;0;-1;0
21;5;0;49;148572;0;0;-1;0
22;5;0;93;88342;0;0;-1;0
19;5;0;4;262382;0;0;-1;1
20;5;0;26;223724;0;0;-1;1
25;8;0;4;135169;0;0;-1;1
24;8;0;79;164101;0;0;-1;1
23;5;0;39;174074;0;0;-1;1
